function,window,status,sync_laps,coup_per,distance
entropy,12,noise,0,False,0.9258834799281328
entropy,12,noise,0,False,0.9174837559847193
entropy,12,noise,0,False,0.907431230528736
entropy,12,noise,0,False,0.9327294243942177
entropy,12,noise,0,False,0.9463689752780076
entropy,12,noise,0,False,0.9420515798440598
entropy,12,noise,0,False,0.9840923397226737
entropy,12,noise,0,False,0.9490782795460155
entropy,12,noise,0,False,0.9619995812440425
entropy,12,noise,0,False,0.9314161996199839
entropy,12,noise,0,False,0.9693400138959295
entropy,12,noise,0,False,0.9355392160648944
entropy,12,noise,0,False,0.8962127264788753
entropy,12,noise,0,False,0.8856105355459338
entropy,12,noise,0,False,0.9128764601836519
entropy,12,noise,0,False,0.9838997943736156
entropy,12,noise,0,False,0.9259748388947784
entropy,12,noise,0,False,0.9370196265884472
entropy,12,noise,0,False,0.9280945670808796
entropy,12,noise,0,False,0.9824460556756511
entropy,12,noise,0,False,0.906176745352316
entropy,12,noise,0,False,0.9305949920613277
entropy,12,noise,0,False,0.9138602313155582
entropy,12,noise,0,False,0.972555215049047
entropy,12,noise,0,False,0.9636597414006696
entropy,12,noise,0,False,0.8790478449239811
entropy,12,noise,0,False,0.9590315922598187
entropy,12,noise,0,False,0.9310026165976276
entropy,12,noise,0,False,0.9478605385845027
entropy,12,noise,0,False,0.947643867170908
entropy,12,noise,0,False,0.9368296270004395
entropy,12,noise,0,False,0.9748534072649233
entropy,12,noise,0,False,0.9638121070870866
entropy,12,noise,0,False,0.9097474237002932
entropy,12,noise,0,False,0.9909733071198734
entropy,12,noise,0,False,0.9456011113705274
entropy,12,noise,0,False,0.9348085394357
entropy,12,noise,0,False,0.9343817176339838
entropy,12,noise,0,False,0.990775580615256
entropy,12,noise,0,False,0.933031557937902
entropy,12,noise,0,False,0.9185230967644717
entropy,12,noise,0,False,0.8746397409949587
entropy,12,noise,0,False,0.8668113507641433
entropy,12,noise,0,False,0.9244476021855974
entropy,12,noise,0,False,0.9684194028881538
entropy,12,noise,0,False,0.9327716152624509
entropy,12,noise,0,False,0.9285102360996542
entropy,12,noise,0,False,0.9241044740834152
entropy,12,noise,0,False,0.9062292609663076
entropy,12,noise,0,False,0.9430403786500516
entropy,12,noise,0,False,0.9645067927477298
entropy,12,noise,0,False,0.8832477068956877
entropy,12,noise,0,False,0.926871757319994
entropy,12,noise,0,False,0.9388496958210559
entropy,12,noise,0,False,0.8653986066246764
entropy,12,noise,0,False,0.9115083778826417
entropy,12,noise,0,False,0.8913884937664467
entropy,12,noise,0,False,0.9317906833733207
entropy,12,noise,0,False,0.9423463171783253
entropy,12,noise,0,False,0.8561074761187986
entropy,12,noise,0,False,0.9991826500614006
entropy,12,noise,0,False,0.9069454241556525
entropy,12,noise,0,False,0.9545033063327187
entropy,12,noise,0,False,0.9553720259154193
entropy,12,noise,0,False,0.985454592595068
entropy,12,noise,0,False,0.9276059721717074
entropy,12,noise,0,False,0.9362599362208814
entropy,12,noise,0,False,0.955565767574213
entropy,12,noise,0,False,0.9118910351758942
entropy,12,noise,0,False,0.9148136633419175
entropy,12,noise,0,False,0.9357186349907776
