function,window,status,sync_laps,coup_per,distance
entropy,12,noise,0,False,0.9750716056954454
entropy,12,noise,0,False,0.9346559830423442
entropy,12,noise,0,False,0.9476764974825511
entropy,12,noise,0,False,0.9499056362976666
entropy,12,noise,0,False,0.9483357004474482
entropy,12,noise,0,False,0.9454296752776192
entropy,12,noise,0,False,0.9921309962577234
entropy,12,noise,0,False,0.9240394693764933
entropy,12,noise,0,False,0.8696487039470908
entropy,12,noise,0,False,0.9670593650696182
entropy,12,noise,0,False,0.9470291969870279
entropy,12,noise,0,False,0.9102141596668851
entropy,12,noise,0,False,0.9561989360437657
entropy,12,noise,0,False,0.9198251071062644
entropy,12,noise,0,False,1.0009938395944569
entropy,12,noise,0,False,0.8948266410236689
entropy,12,noise,0,False,0.9530543805177614
entropy,12,noise,0,False,0.966108912286287
entropy,12,noise,0,False,0.9774163043325697
entropy,12,noise,0,False,1.0011302396149238
entropy,12,noise,0,False,0.8921324091750016
entropy,12,noise,0,False,0.9507512354186254
entropy,12,noise,0,False,0.9162020907099073
entropy,12,noise,0,False,0.9570516899605159
entropy,12,noise,0,False,0.9003869222277898
entropy,12,noise,0,False,0.9019815055566769
entropy,12,noise,0,False,0.9277295148266917
entropy,12,noise,0,False,0.9577825572966495
entropy,12,noise,0,False,0.931455919517993
entropy,12,noise,0,False,0.9218153341513251
entropy,12,noise,0,False,0.9356919631651899
entropy,12,noise,0,False,0.8938765696542168
entropy,12,noise,0,False,0.863428582447828
entropy,12,noise,0,False,0.9512338718417421
entropy,12,noise,0,False,0.9241956423431217
entropy,12,noise,0,False,0.9035098095181537
entropy,12,noise,0,False,0.9284997206469556
entropy,12,noise,0,False,0.947181371966505
entropy,12,noise,0,False,0.9570245098621244
entropy,12,noise,0,False,0.8557500252837065
entropy,12,noise,0,False,0.9337695800698269
entropy,12,noise,0,False,0.9138729111154278
entropy,12,noise,0,False,0.8695442969080243
entropy,12,noise,0,False,0.9672707769769013
entropy,12,noise,0,False,0.920917587688926
entropy,12,noise,0,False,0.9293751615434702
entropy,12,noise,0,False,0.9663335013234318
entropy,12,noise,0,False,0.9867953040907466
entropy,12,noise,0,False,0.9070084683636697
